iter	Passed	Remaining
0	2	466
1	5	468
2	8	462
3	10	404
4	13	424
5	15	403
6	15	356
7	18	353
8	21	362
9	25	383
10	28	396
11	34	437
12	36	418
13	39	416
14	40	401
15	43	400
16	45	391
17	46	373
18	49	371
19	51	369
20	54	368
21	55	357
22	57	352
23	61	354
24	63	352
25	66	351
26	68	347
27	71	344
28	74	342
29	77	341
30	79	339
31	82	339
32	85	335
33	89	337
34	92	336
335	102	363636	106	337	37	109	360
38	112	358
39	115	355
40	116	346
41	119	343
42	121	340
43	123	333
44	126	330
45	128	327
46	131	324
47	132	317
48	135	315
49	138	311
50	139	307
51	141	52	152	144	300
53	147	297
54	148	55	155	150	56	156	154	57	157	157	285
58	160	283
59	164	281
60	166	279
61	169	275
62	171	271
63	172	266
64	175	264
65	178	261
66	180	258
67	183	256
68	185	252
69	187	248
70	190	246
71	192	243
72	195	240
73	197	237
74	200	235
75	203	233
76	206	230
77	208	227
78	211	224
79	212	220
80	215	217
81	217	215
82	283	211	83	284	213	84	285	217	85	286	220	86	287	223	87	288	226	88	289	233	189
90	236	187
91	239	184
92	242	182
93	245	180
94	248	178
95	253	177
96	258	175
97	261	173
98	264	171
99	267	168
100	270	166
101	273	163
102	276	160
103	279	158
104	282	156
105	285	153
106	288	150
107	291	148
108	294	146
109	298	143
110	301	141
111	306	139
112	310	137
113	315	135
114	318	132
115	320	129
116	324	127
117	327	124
118	329	121
119	332	119
120	335	116
121	338	113
122	341	111
123	344	108
124	347	105
125	350	102
126	353	100
127	356	97
128	359	94
129	362	91
130	365	89
131	367	86
132	370	83
133	374	80
134	376	78
135	379	75
136	383	72
137	385	69
138	389	67
139	394	64
140	397	61
141	400	59
142	403	56
143	407	53
144	410	50
145	413	48
146	416	45
147	419	42
148	421	39
149	424	36
150	427	33
151	430	31
152	433	28
153	436153	154	439	22
155	442	19
156	446	17
157	448	14
158	451	11
159	453	8
160	457	5
161	459	2
162	462	0
	471	0
