Feature,Mean_Absolute_SHAP
numerical__transaction_hour,0.04427575541955801
numerical__device_trust_score,0.043213643739574946
numerical__location_mismatch,0.03176989148502259
numerical__foreign_transaction,0.028094859619260993
numerical__velocity_last_24h,0.01092671970595089
numerical__amount,0.007812755877345196
categorical__merchant_category_Grocery,0.0029292725426524257
numerical__cardholder_age,0.0026090399312278033
categorical__merchant_category_Travel,0.001737702865666027
categorical__merchant_category_Electronics,0.0013125748328096383
categorical__merchant_category_Food,0.0008380932122790995
categorical__merchant_category_Clothing,0.0007228906667225436
