Feature,SHAP_Value,Feature_Value,Absolute_SHAP
numerical__transaction_hour,-0.01725153604878881,-0.6634217793837893,0.01725153604878881
numerical__device_trust_score,-0.01617917420135383,-0.7907197564504223,0.01617917420135383
numerical__location_mismatch,-0.013343038130833146,-0.3047887380849036,0.013343038130833146
numerical__foreign_transaction,-0.006671215454541237,-0.3305485449121484,0.006671215454541237
numerical__amount,-0.002074169717056318,-0.6518077642533004,0.002074169717056318
categorical__merchant_category_Grocery,-0.0012027236021430107,0.0,0.0012027236021430107
categorical__merchant_category_Travel,-0.0009185002152265629,0.0,0.0009185002152265629
numerical__cardholder_age,-0.0009067868021861534,0.1731355335513964,0.0009067868021861534
categorical__merchant_category_Clothing,0.0008793985826831185,1.0,0.0008793985826831185
numerical__velocity_last_24h,8.70510461202249e-05,0.6893975568270202,8.70510461202249e-05
categorical__merchant_category_Food,-8.121006383965398e-05,0.0,8.121006383965398e-05
categorical__merchant_category_Electronics,-2.433291385966273e-05,0.0,2.433291385966273e-05
