number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state,Model
0,0.9770821389944327,2026-08-22 01:42:11.020860,2026-08-22 01:42:11.174042,0 days 00:00:00.153182,0.8731565867218833,0.012870253460045243,4,80,200,72,0.0018990596478935082,1.2977060368737452,0.7682892822310597,COMPLETE,LightGBM
1,0.9848134055258078,2026-08-22 01:42:11.174942,2026-08-22 01:42:11.277290,0 days 00:00:00.102348,0.9941770334426121,0.012162061883564583,9,94,250,15,1.3870013499554805e-08,0.3398457902185529,0.7160420150644319,COMPLETE,LightGBM
2,0.9918869359304141,2026-08-22 01:42:11.278278,2026-08-22 01:42:11.391792,0 days 00:00:00.113514,0.7252985131206214,0.03756598681594904,11,10,200,31,2.215254893508725e-05,0.015488665820528748,0.9505841659834489,COMPLETE,LightGBM
3,0.9972222222222221,2026-08-22 01:42:11.392633,2026-08-22 01:42:11.493712,0 days 00:00:00.101079,0.826869404443725,0.07751405110394755,3,34,300,93,7.296574066207149e-08,0.0026958825772202045,0.9582794105373985,COMPLETE,LightGBM
4,0.9937221372730753,2026-08-22 01:42:11.494740,2026-08-22 01:42:11.639514,0 days 00:00:00.144774,0.867991298053009,0.018342988557574366,12,38,300,70,2.9366758490825315e-08,0.010340668163274223,0.8307692173192078,COMPLETE,LightGBM
5,0.9971114672364673,2026-08-22 01:42:11.640587,2026-08-22 01:42:11.809849,0 days 00:00:00.169262,0.945529112335902,0.08462088126883278,12,39,450,55,2.412737077067391e-06,0.005843428051615045,0.8487809293989241,COMPLETE,LightGBM
6,0.9109888984238431,2026-08-22 01:42:11.810854,2026-08-22 01:42:11.875568,0 days 00:00:00.064714,0.9318266662387844,0.015962466452321217,9,61,150,93,0.00039909753856453726,9.784901738855778,0.697583772520688,COMPLETE,LightGBM
7,0.9983935185185185,2026-08-22 01:42:11.876182,2026-08-22 01:42:12.002514,0 days 00:00:00.126332,0.8292161605986436,0.06396055106745079,8,47,300,39,0.005125665075829973,0.2002657262592724,0.884064838394448,COMPLETE,LightGBM
8,0.9896351641014828,2026-08-22 01:42:12.003712,2026-08-22 01:42:12.089790,0 days 00:00:00.086078,0.6575455673959653,0.045479133487775554,12,14,100,64,1.2548283070955042e-05,0.004092170918118147,0.6009424730622291,COMPLETE,LightGBM
9,0.9470531238317544,2026-08-22 01:42:12.090465,2026-08-22 01:42:12.166787,0 days 00:00:00.076322,0.7539566470515496,0.012977764491225369,4,68,200,96,4.6246996728113706e-08,7.129713019892751,0.6153503681401999,COMPLETE,LightGBM
10,0.9999999999999998,2026-08-22 01:42:12.167786,2026-08-22 01:42:12.283298,0 days 00:00:00.115512,0.6194628141447776,0.16587790493964477,7,57,500,41,0.5373819318289962,0.09964259974685252,0.9982540853009296,COMPLETE,LightGBM
11,0.9993589743589743,2026-08-22 01:42:12.284283,2026-08-22 01:42:12.390120,0 days 00:00:00.105837,0.6083407453834103,0.1965201342102426,7,54,500,41,0.9966483322221205,0.0854996989111542,0.9969801959971257,COMPLETE,LightGBM
12,0.9990740740740739,2026-08-22 01:42:12.391038,2026-08-22 01:42:12.510739,0 days 00:00:00.119701,0.6045147656636664,0.1965543578383403,6,62,500,42,0.8215713828644792,0.06337010466867059,0.9966666097056,COMPLETE,LightGBM
13,0.9996666666666666,2026-08-22 01:42:12.511612,2026-08-22 01:42:12.629311,0 days 00:00:00.117699,0.6057032881144285,0.19817317919036706,7,52,400,22,0.2777754573344062,0.05068070343986226,0.9034494569284752,COMPLETE,LightGBM
14,0.9984761904761905,2026-08-22 01:42:12.630166,2026-08-22 01:42:12.758058,0 days 00:00:00.127892,0.682074137273045,0.13837656879735608,6,75,400,16,0.0466088427351904,0.03454279181056755,0.9081181268337621,COMPLETE,LightGBM
15,0.9976923076923077,2026-08-22 01:42:12.759095,2026-08-22 01:42:12.910498,0 days 00:00:00.151403,0.6618069959877559,0.12304396199844836,6,24,400,24,0.06270259114388448,0.576979550759825,0.9214130435819183,COMPLETE,LightGBM
16,0.9976372924648788,2026-08-22 01:42:12.911423,2026-08-22 01:42:13.041459,0 days 00:00:00.130036,0.7292705525195063,0.13596206162684832,8,50,400,51,0.09221968468990355,0.0011578783181461201,0.8438700422412826,COMPLETE,LightGBM
17,0.9993589743589743,2026-08-22 01:42:13.042413,2026-08-22 01:42:13.205032,0 days 00:00:00.162619,0.6367509671666172,0.11167372150371263,10,96,450,33,0.010337056670392416,1.6762902521095566,0.7970859747520451,COMPLETE,LightGBM
18,0.9993333333333332,2026-08-22 01:42:13.205864,2026-08-22 01:42:13.310083,0 days 00:00:00.104219,0.6956298789834978,0.199869352826304,5,83,350,25,0.19274783418838196,0.03155583909655746,0.9490879144555566,COMPLETE,LightGBM
19,0.9972900702426564,2026-08-22 01:42:13.311002,2026-08-22 01:42:13.478044,0 days 00:00:00.167042,0.7720949960532718,0.10497014356083564,7,27,450,51,0.0005087332010181597,0.140253496827249,0.9081872005485914,COMPLETE,LightGBM
