number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state,Model
0,0.37466342733152175,2026-08-22 01:41:46.182866,2026-08-22 01:41:46.285383,0 days 00:00:00.102517,0.6061082395460032,3.878748601752857,0.04150614675369823,5,10,250,0.03493154119677516,0.0545214043950092,0.6691374043576777,COMPLETE,XGBoost
1,0.9983979487179486,2026-08-22 01:41:46.286386,2026-08-22 01:41:46.375225,0 days 00:00:00.088839,0.9427959882656609,3.5454066320099074,0.027762931835184242,3,1,250,2.3294026879136e-07,0.00239290912313916,0.749268852238282,COMPLETE,XGBoost
2,0.9840173698134222,2026-08-22 01:41:46.376074,2026-08-22 01:41:46.500015,0 days 00:00:00.123941,0.7813116373824076,0.27140714761940354,0.04561185560440214,3,4,450,0.0014630088610662012,0.011793819957656809,0.8400948360094839,COMPLETE,XGBoost
3,0.9834812259515795,2026-08-22 01:41:46.501543,2026-08-22 01:41:46.565514,0 days 00:00:00.063971,0.6598612911747876,2.3127380593817786,0.16168406050115902,6,4,200,0.030689810859647945,0.011558099250044918,0.8535458497238688,COMPLETE,XGBoost
4,0.9610908397551808,2026-08-22 01:41:46.566125,2026-08-22 01:41:46.619219,0 days 00:00:00.053094,0.9348883980452268,3.8631209363155605,0.03595283353105596,9,1,100,0.02369267912060866,2.7229982987652086,0.7063046795808483,COMPLETE,XGBoost
5,0.9621070479325458,2026-08-22 01:41:46.620478,2026-08-22 01:41:46.671605,0 days 00:00:00.051127,0.715458451532415,4.965708205600138,0.041696149655685834,7,6,100,0.555956590510812,0.05661341633022453,0.9100999389128419,COMPLETE,XGBoost
6,0.7251519514587088,2026-08-22 01:41:46.672200,2026-08-22 01:41:46.791943,0 days 00:00:00.119743,0.7587004340380249,0.24095444903000862,0.02735414729000247,6,8,400,0.0001895800494845762,0.06789132614161797,0.8596252619457996,COMPLETE,XGBoost
7,0.4674611252582349,2026-08-22 01:41:46.793224,2026-08-22 01:41:46.881547,0 days 00:00:00.088323,0.6444607405780183,4.058992740524994,0.19832051886366217,10,7,400,1.108519927003012e-05,1.7361466934728844,0.6397703514968262,COMPLETE,XGBoost
8,0.9888663109590528,2026-08-22 01:41:46.882213,2026-08-22 01:41:46.981705,0 days 00:00:00.099492,0.6549932365831933,3.1549174638387774,0.061152761398592596,9,3,500,1.3079897998575293e-05,0.006117893291820088,0.9002784253420462,COMPLETE,XGBoost
9,0.9958568835584964,2026-08-22 01:41:46.982720,2026-08-22 01:41:47.047364,0 days 00:00:00.064644,0.8267252544958669,0.6556055889795537,0.028878564845204218,8,1,100,8.072689161757231e-08,0.6878525702727943,0.8219678398680239,COMPLETE,XGBoost
10,0.36930991188610085,2026-08-22 01:41:47.048053,2026-08-22 01:41:47.137546,0 days 00:00:00.089493,0.9952457032819896,1.6195006638965308,0.01085945115509421,3,10,300,1.8248475555734285e-08,7.777688055915901,0.7456264715914706,COMPLETE,XGBoost
11,0.9967285414344111,2026-08-22 01:41:47.138524,2026-08-22 01:41:47.229466,0 days 00:00:00.090942,0.8672833099027021,1.6098614788691574,0.016540244092627825,4,1,200,2.9521553362040233e-08,0.0010068969057349668,0.7834521500067545,COMPLETE,XGBoost
12,0.985851316811843,2026-08-22 01:41:47.230205,2026-08-22 01:41:47.308555,0 days 00:00:00.078350,0.8748903363237381,1.718150151207467,0.014329612545421005,4,2,200,3.783733633257689e-07,0.0010254884808506184,0.7542498158593719,COMPLETE,XGBoost
13,0.9987312820512821,2026-08-22 01:41:47.309786,2026-08-22 01:41:47.424004,0 days 00:00:00.114218,0.9021912374430938,2.6616803026588363,0.016772642653966895,4,1,300,9.134493611474928e-07,0.0010797627522775087,0.7742929009224754,COMPLETE,XGBoost
14,0.9873763103115676,2026-08-22 01:41:47.424729,2026-08-22 01:41:47.547764,0 days 00:00:00.123035,0.9561496983956589,2.7153887164918857,0.020744304384179048,4,3,300,1.553250471811619e-06,0.003561071250390487,0.9892109637777754,COMPLETE,XGBoost
15,0.9820427012680302,2026-08-22 01:41:47.548772,2026-08-22 01:41:47.644234,0 days 00:00:00.095462,0.9021600671984578,3.3860786468144233,0.08303074806389267,3,3,350,1.0961590781577501e-06,0.0027971675786341316,0.6085010462387385,COMPLETE,XGBoost
16,0.9904030949823299,2026-08-22 01:41:47.644758,2026-08-22 01:41:47.747987,0 days 00:00:00.103229,0.9804078345171008,4.659127771258022,0.02089738979068437,5,2,300,1.238904599391148e-05,0.018334513757045083,0.7085264858833162,COMPLETE,XGBoost
17,0.9580527862979732,2026-08-22 01:41:47.749233,2026-08-22 01:41:47.854254,0 days 00:00:00.105021,0.9155081279530859,2.294627855424841,0.012541165881313281,5,5,250,3.0579307557534054e-07,0.002043228890951163,0.7767538611965662,COMPLETE,XGBoost
18,0.9951673387482082,2026-08-22 01:41:47.855029,2026-08-22 01:41:47.946526,0 days 00:00:00.091497,0.8378984407191614,3.1436585688881316,0.08851853688453654,4,2,350,0.00012743021141959374,0.3119221769766159,0.7224156318640692,COMPLETE,XGBoost
19,0.9987040598290597,2026-08-22 01:41:47.947549,2026-08-22 01:41:48.014343,0 days 00:00:00.066794,0.8076904114649577,2.5406465149914905,0.019344708747601864,3,1,150,3.0182344425389607e-06,0.0052462597601356945,0.7940160436591777,COMPLETE,XGBoost
